"","topfeatures(y2013, n = 100)"
"müssen",1619
"gut",1067
"mensch",1048
"mehr",800
"sollen",798
"deutschland",756
"neu",734
"land",730
"sozial",708
"setzen",585
"stärken",576
"deshalb",574
"schaffen",519
"brauchen",517
"europäisch",515
"öffentlich",468
"stark",444
"europa",399
"leben",395
"gesellschaft",381
"kind",376
"unternehmen",369
"unterstützen",351
"gemeinsam",344
"jahr",339
"eu",336
"stehen",336
"deutsch",319
"groß",315
"wichtig",306
"politik",305
"fördern",301
"ziel",300
"recht",300
"zukunft",295
"dürfen",288
"immer",287
"arbeit",286
"jed",285
"geben",280
"entwicklung",276
"bildung",266
"hoch",259
"euro",257
"chance",257
"international",249
"bleiben",248
"ab",243
"wirtschaftlich",242
"verbessern",242
"ermöglichen",238
"weit",238
"ökologisch",237
"frau",237
"kommune",236
"gehören",234
"wirtschaft",233
"staat",228
"stellen",227
"nachhaltig",226
"gelten",222
"bürger",219
"möglichkeit",216
"politisch",214
"erhalten",213
"verantwortung",202
"frei",202
"teilhabe",200
"gehen",198
"insbesondere",195
"fordern",194
"demokratisch",194
"demokratie",187
"gesetzlich",186
"sichern",183
"gesellschaftlich",183
"privat",182
"welt",180
"eigen",179
"nutzen",178
"treten",177
"linke",176
"familie",173
"region",173
"führen",169
"förderung",168
"schutz",166
"freiheit",166
"ausbauen",166
"gleich",165
"gerade",165
"mittel",164
"ausbau",163
"bereich",163
"heute",161
"sorgen",158
"sicherheit",158
"bund",157
"zeit",156
"grün",156
