"","topfeatures(gruene, n = 100)"
"müssen",1760
"mensch",1000
"mehr",937
"gut",902
"neu",880
"sollen",733
"brauchen",693
"sozial",647
"setzen",581
"deshalb",522
"kind",511
"schaffen",508
"deutschland",507
"land",504
"grüne",501
"stärken",479
"europäisch",465
"leben",460
"ökologisch",455
"frau",416
"recht",410
"stark",401
"gesellschaft",397
"fördern",379
"immer",372
"öffentlich",366
"geben",347
"eu",346
"groß",334
"grün",332
"international",328
"jahr",323
"innen",320
"politik",319
"dürfen",319
"unterstützen",316
"europa",314
"unternehmen",304
"arbeit",303
"ziel",288
"wichtig",282
"stehen",281
"bildung",266
"stellen",262
"ab",261
"zukunft",259
"gehören",254
"nachhaltig",249
"demokratie",246
"gemeinsam",244
"hoch",239
"kommune",231
"jed",229
"gehen",228
"staat",227
"weit",223
"bürger",221
"entwicklung",219
"teilhabe",216
"wirtschaft",208
"gesellschaftlich",207
"verbessern",203
"gelten",203
"verantwortung",202
"erhalten",202
"chance",201
"wer",201
"heute",201
"politisch",198
"ermöglichen",197
"wirtschaftlich",195
"deutsch",195
"bleiben",191
"statt",190
"global",190
"schutz",189
"schützen",188
"förderung",188
"freiheit",187
"gerade",187
"rechte",186
"sicherheit",185
"demokratisch",183
"kommen",180
"schule",180
"frei",180
"zeit",179
"fair",178
"sorgen",177
"möglich",176
"bürgerinnen",174
"fordern",173
"euro",172
"mittel",170
"umwelt",168
"gleich",168
"erreichen",168
"welt",168
"familie",167
"klar",166
