"","topfeatures(linke, n = 100)"
"müssen",1241
"sozial",604
"öffentlich",511
"mensch",502
"linke",448
"sollen",407
"gut",389
"mehr",324
"recht",271
"arbeit",239
"setzen",239
"stärken",221
"dürfen",220
"unternehmen",215
"euro",211
"beschäftigter",206
"deutschland",205
"land",205
"schaffen",201
"leben",200
"demokratisch",198
"neu",197
"fordern",197
"jahr",191
"kind",188
"ökologisch",176
"gesellschaft",175
"brauchen",168
"prozent",160
"bildung",159
"politik",157
"eu",156
"europäisch",152
"frau",147
"ab",144
"stehen",142
"fördern",142
"demokratie",140
"immer",134
"stellen",130
"statt",129
"stark",129
"gesetzlich",126
"groß",123
"gleich",123
"unterstützen",122
"rechte",122
"sichern",121
"hoch",121
"solidarisch",120
"abschaffen",120
"kommune",120
"jed",119
"einkommen",118
"entwicklung",108
"deutsch",108
"politisch",108
"ausbauen",108
"gesellschaftlich",106
"geben",106
"gelten",105
"einführen",103
"europa",103
"staat",103
"führen",101
"erhalten",100
"privat",98
"wirtschaft",96
"wenig",96
"armut",94
"finanziell",90
"rent",89
"gehören",89
"pflege",89
"beenden",88
"krieg",88
"erhöhen",86
"erst",85
"bund",85
"regional",85
"bürger",84
"staatlich",84
"wirtschaftlich",83
"unabhängig",83
"deshalb",82
"schützen",81
"gehen",81
"ermöglichen",81
"daseinsvorsorge",80
"wer",80
"interesse",79
"zugang",79
"frei",79
"bürgerinnen",78
"weit",77
"krise",76
"mittel",76
"lohn",76
"verbessern",76
"international",76
