"","topfeatures(spd, n = 100)"
"müssen",904
"gut",631
"sozial",529
"deutschland",507
"mensch",491
"mehr",477
"neu",447
"land",425
"sollen",399
"europäisch",356
"brauchen",344
"stärken",318
"deshalb",304
"arbeit",293
"stark",285
"europa",269
"wichtig",262
"setzen",255
"schaffen",254
"gesellschaft",252
"ziel",239
"kind",236
"jahr",232
"gemeinsam",216
"unternehmen",212
"unterstützen",211
"bildung",208
"fördern",208
"international",202
"leben",194
"bleiben",191
"politik",187
"wirtschaftlich",180
"öffentlich",180
"stehen",178
"geben",177
"recht",176
"wirtschaft",174
"verbessern",172
"entwicklung",172
"zukunft",171
"frau",171
"hoch",171
"sicherheit",169
"deutsch",168
"groß",162
"eu",156
"politisch",152
"familie",149
"gelten",145
"bürger",143
"dürfen",140
"jed",140
"ermöglichen",139
"chance",136
"sorgen",136
"staat",135
"modern",133
"gesetzlich",132
"gesellschaftlich",132
"stellen",131
"nutzen",127
"gleich",127
"sichern",125
"demokratie",125
"erhalten",125
"kultur",124
"nachhaltig",123
"ausbauen",122
"spd",122
"bürgerinnen",121
"immer",120
"insbesondere",120
"zeit",117
"kommune",116
"verantwortung",115
"gehören",115
"gehen",112
"weit",112
"arbeitnehmer",110
"bereich",110
"bund",110
"welt",109
"forschung",109
"stadt",109
"erreichen",109
"förderung",109
"investition",108
"schutz",106
"schule",104
"aufgabe",104
"ausbildung",104
"führen",102
"grundlage",102
"euro",102
"möglichkeit",101
"voraussetzung",100
"jung",100
"ausbau",97
"erst",95
