"","x"
"müssen",6186
"mensch",3099
"gut",2905
"sollen",2747
"deutschland",2739
"mehr",2739
"neu",2519
"sozial",2395
"land",2146
"setzen",1826
"brauchen",1724
"europäisch",1688
"stärken",1644
"deshalb",1576
"kind",1518
"schaffen",1498
"öffentlich",1459
"stark",1324
"leben",1252
"jahr",1249
"gesellschaft",1232
"unternehmen",1229
"deutsch",1179
"fördern",1151
"arbeit",1148
"europa",1146
"recht",1146
"eu",1145
"dürfen",1099
"international",1090
"politik",1071
"groß",1067
"stehen",1045
"wichtig",1028
"bildung",1012
"geben",991
"unterstützen",978
"jed",973
"staat",970
"bürger",953
"ziel",950
"frau",943
"gemeinsam",916
"hoch",911
"entwicklung",909
"zukunft",904
"immer",893
"ab",874
"frei",867
"bleiben",845
"chance",827
"ökologisch",822
"fordern",810
"wirtschaft",804
"wirtschaftlich",796
"stellen",785
"fdp",783
"sicherheit",778
"gehören",769
"erhalten",769
"verbessern",761
"euro",760
"weit",760
"gelten",747
"politisch",745
"familie",701
"ermöglichen",677
"förderung",667
"freiheit",660
"verantwortung",657
"nachhaltig",651
"demokratie",641
"führen",638
"insbesondere",636
"gesellschaftlich",634
"kommune",628
"gehen",627
"schule",626
"schutz",621
"sichern",617
"demokratisch",606
"gesetzlich",605
"aufgabe",603
"möglichkeit",597
"privat",588
"nutzen",588
"arbeitsplatz",582
"heute",576
"eigen",569
"staatlich",560
"kultur",556
"gleich",556
"zeit",552
"prozent",551
"welt",550
"forschung",548
"grüne",545
"bund",541
"sorgen",538
"erst",535
